name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_per_night,days_since_last_review
Palace of Perhaps (Bushwick/Ridgewood),24294179,Queens,Ridgewood,40.70084,-73.90843,Private room,48,1,2,1,17,48.0,1.0
BRAND NEW! Brooklyn 2 bedrooms,229725669,Brooklyn,Williamsburg,40.7113,-73.9576,Entire home/apt,400,3,0,1,359,133.33333333333334,0.0
"❥❥❥NYC apt: 4min/subway, 25m/city, 20m/LGA,JFK❥❥❥",63272360,Queens,Woodhaven,40.6935,-73.86837,Entire home/apt,145,3,0,6,8,48.333333333333336,0.0
The N residence,136408243,Brooklyn,Midwood,40.61354,-73.96316,Private room,140,1,0,1,364,140.0,0.0
"❥❥1*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFK❥❥",63272360,Queens,Woodhaven,40.69343,-73.86745,Private room,60,3,0,6,50,20.0,0.0
"Large Midtown Apartment by Grand Central, Sleeps 4",143959643,Manhattan,Midtown,40.75284,-73.97088,Entire home/apt,145,1,0,1,310,145.0,0.0
Prime East Village *Sunny & Spacious* 2BR Flat,268614079,Manhattan,East Village,40.72513,-73.9839,Entire home/apt,315,5,2,1,160,63.0,7.0
Midtown 2 BR Private Apt for Urban Dwellers  ✧,112799848,Manhattan,Hell's Kitchen,40.76433,-73.993,Entire home/apt,300,1,0,3,342,300.0,0.0
Charming Authentic NYC Home 12 min to Manhattan,10061222,Queens,Astoria,40.75909,-73.92227,Private room,95,1,0,1,355,95.0,0.0
Trendy East Village apt for 4! Street level apt,4210130,Manhattan,East Village,40.72438,-73.98901,Entire home/apt,199,3,6,1,98,66.33333333333333,2.0
Amazing Brooklyn 1Bd with Private Balcony,12061757,Brooklyn,Brownsville,40.67511,-73.90836,Entire home/apt,100,2,0,1,53,50.0,0.0
"❥❥2*NYC Cozy: 4min/subway, 25m/city, 20m/LGA,JFK❥❥",63272360,Queens,Woodhaven,40.69482,-73.86747,Private room,60,3,0,6,41,20.0,0.0
Private 1BR Apt 3min from Times Square,268352337,Manhattan,Hell's Kitchen,40.76494,-73.98874,Entire home/apt,250,1,0,2,360,250.0,0.0
Cosy Bedroom in CITY CENTER,268276813,Manhattan,Hell's Kitchen,40.76565,-73.99392,Private room,150,1,0,3,365,150.0,0.0
NEW MODERN & CLASSIC ENTIRE 2BED PRIVATE ENTRANCE,12549759,Brooklyn,Bedford-Stuyvesant,40.68656,-73.91921,Entire home/apt,160,4,2,2,34,40.0,18.0
PAULINE'S PLACE 1 BR APT 5 Min from JFK,259207391,Queens,Jamaica,40.67632,-73.79856,Private room,70,1,3,3,174,70.0,7.0
PRIVATE BR 5min to TIMES SQ,268276813,Manhattan,Hell's Kitchen,40.7639,-73.99542,Private room,150,1,0,3,362,150.0,0.0
Lovely Spacious Studio in Bedstuy,268627924,Brooklyn,Bedford-Stuyvesant,40.68242,-73.95348,Shared room,90,3,0,1,38,30.0,0.0
Private 2BR apartment in Historic Hell’s Kitchen,268276813,Manhattan,Hell's Kitchen,40.7645,-73.99434,Entire home/apt,300,1,0,3,362,300.0,0.0
"Prospect Park Historic 1BR near 2,5,Q, B, S trains",11503187,Brooklyn,Prospect-Lefferts Gardens,40.66085,-73.95586,Entire home/apt,1400,10,1,1,17,140.0,6.0
Bright & Modern East Village Apartment,268631641,Manhattan,East Village,40.72198,-73.97678,Private room,97,1,1,1,1,97.0,18.0
Apartment Walking Distance to Central Park,75285802,Manhattan,East Harlem,40.78861,-73.94523,Entire home/apt,150,4,0,2,35,37.5,0.0
Premier Two Queens close to Central Park,261761196,Manhattan,Midtown,40.76542,-73.98192,Private room,300,1,0,8,321,300.0,0.0
Two Doubles in Historical Central Park Hotel,261761196,Manhattan,Midtown,40.76523,-73.98049,Private room,250,1,0,8,306,250.0,0.0
Carnegie Hall Two Queens with Corner View,261761196,Manhattan,Midtown,40.76546,-73.9806,Private room,300,1,0,8,317,300.0,0.0
"Spacious 2 Bed, 2 Bath in Vibrant East Village",268634598,Manhattan,East Village,40.72632,-73.9846,Entire home/apt,325,5,1,1,163,65.0,11.0
The Jamaica Experience,46662635,Queens,Jamaica,40.70477,-73.80335,Entire home/apt,44,1,3,1,330,44.0,5.0
Shared Spaces;15 m to Times SQ;Safest Area in NY,175730239,Queens,Sunnyside,40.73864,-73.92728,Shared room,30,3,2,12,361,10.0,7.0
Host yr PARTY in style -Manhattan ROOF TOP for 25,71276635,Manhattan,Washington Heights,40.83571,-73.94179,Entire home/apt,750,1,1,5,364,750.0,1.0
Nice thing,208559533,Brooklyn,Bedford-Stuyvesant,40.69528,-73.95603,Shared room,115,1,0,1,89,115.0,0.0
Elegant private bedroom in sunny modern home #1,101771985,Manhattan,Harlem,40.8076,-73.94886,Private room,80,1,0,3,127,80.0,0.0
Lux 23rd Fl. Wall St. Apartment,7169907,Manhattan,Financial District,40.70424,-74.00789,Entire home/apt,135,2,2,1,2,67.5,3.0
Private rooms And Matchless Location,233050530,Queens,Woodside,40.74568,-73.90844,Private room,49,2,0,1,177,24.5,0.0
Cool palce ✌✌✌ for 2 people,268657406,Manhattan,East Harlem,40.80935,-73.93812,Private room,270,1,3,1,30,270.0,9.0
big studio loft with private rooftop,17601262,Brooklyn,East Flatbush,40.6509,-73.95108,Entire home/apt,200,3,0,2,324,66.66666666666667,0.0
Apartment in Williamsburg,10086230,Brooklyn,Williamsburg,40.7113,-73.95395,Entire home/apt,200,10,0,1,27,20.0,0.0
"ﾏﾝﾊｯﾀﾝ､駅から徒歩4分でどこに行くのにも便利な場所!女性の方希望,ｷﾚｲなお部屋｡",63513465,Manhattan,East Harlem,40.80347,-73.93522,Private room,70,1,0,1,314,70.0,0.0
Share Room;Cozy;Silent and Safe 15 m to Times Sq,175730239,Queens,Sunnyside,40.73913,-73.92692,Shared room,30,3,0,12,359,10.0,0.0
Comfortable Stay near Yankee Stadium,264676469,Bronx,Highbridge,40.83163,-73.93077,Private room,80,1,1,1,2,80.0,17.0
PRIME SOHO / Nolita 2 bedroom apartment,5678260,Manhattan,Nolita,40.72165,-73.99584,Entire home/apt,249,3,0,1,85,83.0,0.0
"Location is Everything, plus all this!  NYC Luxury",257033785,Manhattan,Upper West Side,40.77219,-73.98991,Entire home/apt,400,2,0,1,15,200.0,0.0
AMAZING ONE BED IN MEATPACKING/CHELSEA MARKET!!,268271871,Manhattan,Chelsea,40.74499,-74.00704,Entire home/apt,399,3,1,1,179,133.0,15.0
Share;Almost Heart of Manhattan;Safe and Silent !!,175730239,Queens,Sunnyside,40.73997,-73.92655,Shared room,30,3,1,12,345,10.0,18.0
"Share Spaces;Almost Manhattan #1 Safety,Silent !!",175730239,Queens,Sunnyside,40.74033,-73.92646,Shared room,30,3,2,12,350,10.0,19.0
New room! Cute & clean. Close to train. Wood floor,128843123,Brooklyn,East New York,40.66784,-73.88575,Private room,45,1,0,2,365,45.0,0.0
"Sunny, Spacious, Beautiful Apt",76407060,Manhattan,East Village,40.72503,-73.98546,Entire home/apt,295,1,1,1,11,295.0,8.0
Luxury High Rise Condominium 2 Bedroom,267483864,Manhattan,Murray Hill,40.74457,-73.97493,Entire home/apt,449,1,1,1,216,449.0,4.0
PRIVACY CHELSEA BEAUTY WITH PRIVATE ENTRANCE,14563616,Manhattan,Chelsea,40.73724,-73.99429,Entire home/apt,249,1,5,2,125,249.0,7.0
King bed. New room! Wood floors. Train is close,128843123,Brooklyn,East New York,40.66588,-73.891,Private room,48,1,1,2,334,48.0,14.0
2 Bedroom Apartment in SoHo,1221359,Manhattan,Lower East Side,40.72076,-73.98843,Entire home/apt,400,5,0,1,173,80.0,0.0
Best manhattan view and 5 min into manhattan,265422938,Queens,Long Island City,40.74639,-73.9435,Private room,149,2,0,2,23,74.5,0.0
Amazing Location in Williamsburg with 4 Bedrooms,222287033,Brooklyn,Williamsburg,40.71151,-73.96515,Entire home/apt,350,3,2,5,347,116.66666666666667,18.0
Homey and modern 1BR,21942647,Queens,Long Island City,40.75777,-73.93509,Private room,125,1,0,1,358,125.0,0.0
Queen Sized Bedroom with Frontal Ocean View,26935419,Brooklyn,Brighton Beach,40.5771,-73.96499,Private room,120,1,0,1,252,120.0,0.0
Manhattan Apartment Near it All!,11490581,Manhattan,Hell's Kitchen,40.75292,-73.99487,Entire home/apt,249,2,1,1,7,124.5,15.0
Prime Midtown West! Spacious & Renovated 3BR!,268294305,Manhattan,Hell's Kitchen,40.75499,-73.99437,Entire home/apt,299,3,0,1,237,99.66666666666667,0.0
Massive Victorian Home with Parking!,122178596,Brooklyn,Flatlands,40.62948,-73.94088,Entire home/apt,195,2,0,3,80,97.5,0.0
Brooklyn Home II,268468020,Brooklyn,East Flatbush,40.64262,-73.93621,Private room,101,1,0,2,116,101.0,0.0
Rose's Brooklyn Oasis - Close to Subway!,268757078,Brooklyn,East Flatbush,40.6456,-73.95065,Private room,40,1,1,2,151,40.0,8.0
Elegant private bedroom in sunny modern home #2,101771985,Manhattan,Harlem,40.80609,-73.9484,Private room,90,1,0,3,121,90.0,0.0
Rose's Brooklyn Oasis 2 - Close to Subway!,268757078,Brooklyn,East Flatbush,40.64457,-73.94915,Private room,35,1,3,2,171,35.0,1.0
A lovely room in a great house close to RUMC.,102263916,Staten Island,Tompkinsville,40.63281,-74.09132,Private room,50,1,4,2,84,50.0,1.0
Relax comfortably 1BR w/AC in the Heart of Queens1,268784513,Queens,East Elmhurst,40.75938,-73.88219,Private room,70,1,8,3,342,70.0,1.0
2 Bed/2 Bath Upper East Manhattan Luxury Doorman,83934468,Manhattan,Upper East Side,40.78149,-73.95168,Entire home/apt,400,14,0,1,25,28.571428571428573,0.0
Deluxe bedroom w/ 2 beds - 3 Stops to Times Square,268796947,Queens,Long Island City,40.75267,-73.93111,Private room,59,1,0,5,351,59.0,0.0
A Stylist's entire apt (2BDs) in heart of NYC!!,28580275,Manhattan,Midtown,40.75823,-73.96509,Entire home/apt,290,1,0,4,286,290.0,0.0
"Great Room! Great Price! 
Can wait to see you !",268198789,Brooklyn,Cypress Hills,40.67804,-73.86761,Private room,48,2,1,2,348,24.0,6.0
Private Cozy Apartment,220125576,Queens,Ozone Park,40.6726,-73.84567,Entire home/apt,85,3,1,3,52,28.333333333333332,0.0
Cozy private Apartment in great area 30min to NYC,110644265,Queens,Rego Park,40.72733,-73.86047,Entire home/apt,75,1,2,1,1,75.0,15.0
Gorgeous Room in Chic Apartment! PRIVATE BACKYARD,10690947,Brooklyn,Bushwick,40.68787,-73.90601,Private room,60,2,0,1,20,30.0,0.0
"BEAUTIFUL MINI GYM, ELEVATOR, QUEEN SIZE BEDROOM",245781620,Bronx,Kingsbridge,40.88587,-73.89865,Private room,80,4,0,1,87,20.0,0.0
Cozy Room w/ Private Lounge Nolita,26781753,Manhattan,Nolita,40.72247,-73.99473,Private room,95,7,0,1,125,13.571428571428571,0.0
Fully equipped 2 bedroom/Heart of Bushwick.,9510645,Brooklyn,Bushwick,40.70205,-73.92798,Entire home/apt,225,2,0,2,161,112.5,0.0
Spacious apartment with amazing natural light,3741794,Queens,Sunnyside,40.74709,-73.9138,Entire home/apt,150,5,0,1,359,30.0,0.0
Bedroom in Downtown Brooklyn Near Manhattan,268832581,Brooklyn,Downtown Brooklyn,40.69733,-73.98427,Private room,90,1,0,1,189,90.0,0.0
Cozy Home in the suburbs,140665873,Queens,Jamaica Estates,40.71797,-73.78478,Private room,50,1,3,1,179,50.0,8.0
"Charming ""Library"" Apt, Heart of Greenwich Village",4129805,Manhattan,West Village,40.73286,-74.00244,Entire home/apt,175,2,2,5,79,87.5,17.0
"CENTRAL PARK APARTMENT 
BEST LOCATION IN NYC",4955986,Manhattan,Midtown,40.76364,-73.97589,Entire home/apt,249,2,0,1,253,124.5,0.0
Affordable 3 beds / 2 baths Grand central gem,268838097,Manhattan,Murray Hill,40.74889,-73.9747,Entire home/apt,399,5,0,1,208,79.8,0.0
Studio at Hilton Club Residence - Manhattan's Best,6524762,Manhattan,Midtown,40.76303,-73.97896,Entire home/apt,380,1,0,3,364,380.0,0.0
Brickwall 3BR 5bed 10pl - Prime location Times Sq.,268847927,Manhattan,Hell's Kitchen,40.762,-73.99158,Entire home/apt,399,3,0,1,218,133.0,0.0
"Home Away, JFK Apartment",145406361,Queens,Jamaica,40.68474,-73.79197,Entire home/apt,79,1,0,1,167,79.0,0.0
Great affordable space for large groups up to 30,122178596,Brooklyn,Flatlands,40.62806,-73.94137,Entire home/apt,649,1,0,3,64,649.0,0.0
Rare Spacious 2 Bedroom apartment with yard...,268852377,Brooklyn,Bedford-Stuyvesant,40.69819,-73.94719,Entire home/apt,160,2,1,1,347,80.0,7.0
Studio at Hilton Club Residence - Manhattan's Best,6524762,Manhattan,Midtown,40.76218,-73.98002,Entire home/apt,380,2,0,3,2,190.0,0.0
⍟Times Square | The Feeling of Home in Manhattan⍟,181773256,Manhattan,Midtown,40.7509,-73.98557,Entire home/apt,450,1,0,1,65,450.0,0.0
Luxury new 1 bed apartment in East Williamsburg,265866685,Brooklyn,Bushwick,40.69796,-73.92915,Entire home/apt,198,30,0,2,179,6.6,0.0
The waterview  quiet area and just everything,268868462,Brooklyn,Greenpoint,40.7309,-73.95969,Private room,200,4,0,1,365,50.0,0.0
"20 Min to Manhattan, Big 3 bed RM Apt in Ridgewood",267405973,Queens,Ridgewood,40.70141,-73.90415,Entire home/apt,195,18,0,2,347,10.833333333333334,0.0
Sparkling 3BR near subway/beach - with a yard!,73670512,Brooklyn,Gravesend,40.59301,-73.975,Entire home/apt,140,3,3,2,222,46.666666666666664,1.0
Single Professional Room with Private Bath,261187437,Brooklyn,Borough Park,40.63524,-74.0039,Private room,55,1,1,6,358,55.0,15.0
Comfy house close to Central Brooklyn,258885293,Brooklyn,East Flatbush,40.65937,-73.9348,Private room,59,1,3,1,343,59.0,2.0
LIC Jackson park luxury apartment Queen Plaza,245830692,Queens,Long Island City,40.74776,-73.93869,Private room,65,2,3,1,26,32.5,9.0
Private room in Greenwich Village,265901814,Manhattan,West Village,40.73638,-74.00057,Private room,125,2,0,2,180,62.5,0.0
Large room in a cozy and very clean apt,129797713,Queens,Astoria,40.76375,-73.91061,Private room,70,7,0,1,222,10.0,0.0
"Lovely*Bright Place in Brooklyn/ Nearby L, G train",22134437,Brooklyn,Greenpoint,40.72256,-73.94889,Private room,85,2,2,1,103,42.5,8.0
Private Balcony & Rooftop Deck in New Building,15020878,Manhattan,East Harlem,40.80622,-73.93875,Entire home/apt,115,2,0,1,3,57.5,0.0
Cozy bedroom 25 min from Manhattan,127927020,Brooklyn,Crown Heights,40.67442,-73.92949,Private room,50,1,4,3,364,50.0,2.0
Sunny and clean bedroom 25 min from Manhattan,127927020,Brooklyn,Crown Heights,40.67615,-73.93046,Private room,50,1,5,3,361,50.0,3.0
Bright private bedroom 25 min from Manhattan,127927020,Brooklyn,Crown Heights,40.67631,-73.92912,Private room,58,1,2,3,363,58.0,20.0
Chelsea Sunroof,180237401,Manhattan,Chelsea,40.74443,-73.9967,Entire home/apt,200,4,0,1,31,50.0,0.0
Beautiful apt with prime LES location,2351947,Manhattan,Lower East Side,40.72065,-73.98733,Entire home/apt,280,2,0,1,17,140.0,0.0
2 BATHROOMS Times Sq. Duplex for upto 8 people,18288234,Manhattan,Hell's Kitchen,40.76035,-73.99039,Entire home/apt,379,3,0,1,333,126.33333333333333,0.0
TriBeCa / Fidi in the sky,181143,Manhattan,Financial District,40.71013,-74.00511,Entire home/apt,200,4,1,1,108,50.0,7.0
"The Gallery Bed & Breakfast in Bed-Stuy, Brooklyn",21299191,Brooklyn,Bedford-Stuyvesant,40.68794,-73.93626,Private room,175,2,3,1,358,87.5,1.0
Cozy UWS Only two blocks away from Central Park!,261451511,Manhattan,Upper West Side,40.78527,-73.97623,Private room,150,2,3,1,21,75.0,8.0
Francesco’s Manhattan Private Room w/private bath,50278442,Manhattan,Morningside Heights,40.80528,-73.96547,Private room,70,30,0,3,328,2.3333333333333335,0.0
Basement apartment in single family home,122178596,Brooklyn,Flatlands,40.62987,-73.94267,Entire home/apt,80,2,0,3,65,40.0,0.0
Beautiful location for enjoy in NYC,188498431,Queens,Sunnyside,40.7388,-73.92282,Private room,65,2,3,6,347,32.5,2.0
Charming & Stylish Home in Chelsea,44138549,Manhattan,Chelsea,40.74357,-73.99751,Entire home/apt,260,5,0,1,17,52.0,0.0
Big comfortable private bedroom in Upper Manhattan,266770733,Manhattan,Inwood,40.85988,-73.92703,Private room,50,2,1,1,11,25.0,14.0
"Sunlit Fabulous ""Treehouse"" in Greenwich Village",269055881,Manhattan,West Village,40.73243,-74.00333,Private room,160,3,1,1,52,53.333333333333336,12.0
Urban Oasis Apartment for Fam or Friends,433917,Brooklyn,Bedford-Stuyvesant,40.67913,-73.94872,Entire home/apt,100,3,0,1,28,33.333333333333336,0.0
Great place,94214493,Brooklyn,East Flatbush,40.65643,-73.91875,Private room,80,7,0,9,365,11.428571428571429,0.0
one privet bedroom cheap price perfect for singel,148004680,Brooklyn,Midwood,40.62245,-73.9696,Private room,35,1,1,1,50,35.0,7.0
Modern double bed in large duplex (in Gramercy),7761295,Manhattan,Gramercy,40.73808,-73.98325,Private room,85,2,0,1,12,42.5,0.0
Brooklyn Apt: Redhook,269070501,Brooklyn,Red Hook,40.67887,-74.00582,Entire home/apt,100,1,0,1,43,100.0,0.0
The Clifton Eastern Room,260891097,Brooklyn,Bedford-Stuyvesant,40.6898,-73.95333,Private room,75,2,0,2,88,37.5,0.0
Murray Hill studio,2448443,Manhattan,Murray Hill,40.74849,-73.97708,Entire home/apt,140,3,1,1,3,46.666666666666664,21.0
"Stunning, Renovated 2bed/1.5bath Apt in Prime LES!",268205314,Manhattan,Chinatown,40.71598,-73.99549,Entire home/apt,299,1,2,1,334,299.0,10.0
Private bedroom in a PENTHOUSE apartment,269078087,Manhattan,East Harlem,40.79846,-73.93359,Private room,62,1,4,1,7,62.0,10.0
Private Affordable room in the heart of Harlem NYC,268896283,Manhattan,Harlem,40.81566,-73.94174,Private room,45,1,1,2,73,45.0,7.0
Room with private bathroom in Brooklyn,238908845,Brooklyn,Bushwick,40.69328,-73.92085,Private room,55,2,0,1,5,27.5,0.0
Entire Luxurious Spacious Studio! NYC!,41829977,Queens,Elmhurst,40.74638,-73.87353,Private room,99,1,0,2,161,99.0,0.0
"Large Bright Studio,Sleeps 5 w/2 Queen Beds&Futon",21261408,Brooklyn,Clinton Hill,40.68991,-73.96132,Private room,130,1,2,6,345,130.0,7.0
Brand new 3 BD apartment a minute from G train,251817531,Brooklyn,Bedford-Stuyvesant,40.68793,-73.95457,Entire home/apt,300,2,0,4,275,150.0,0.0
Carlos apartment,269095308,Manhattan,East Harlem,40.79234,-73.94592,Private room,75,4,1,1,24,18.75,15.0
Townhouse in Bed Stuy with beautiful garden,18142449,Brooklyn,Bedford-Stuyvesant,40.68743,-73.95257,Entire home/apt,350,5,0,1,22,70.0,0.0
"Spacious, Luxury Duplex with Outside Deck",37888781,Brooklyn,Bedford-Stuyvesant,40.67884,-73.92611,Entire home/apt,195,2,1,1,71,97.5,21.0
Bright & quiet room 25 min from Downtown Manhattan,178036911,Brooklyn,Bedford-Stuyvesant,40.68298,-73.9298,Private room,60,1,4,2,354,60.0,1.0
"Cozy, sun-drenched, 1st floor apt in Astoria / LIC",269105402,Queens,Long Island City,40.76049,-73.9288,Entire home/apt,110,2,2,1,21,55.0,1.0
Master Bedroom with Private Bathroom,121917249,Brooklyn,Clinton Hill,40.6941,-73.96295,Private room,70,3,0,2,25,23.333333333333332,0.0
Cozy bedroom close to Manhattan,178036911,Brooklyn,Bedford-Stuyvesant,40.68293,-73.92924,Private room,50,1,5,2,359,50.0,3.0
Bedroom with Private bathroom,121917249,Brooklyn,Clinton Hill,40.69333,-73.965,Private room,80,7,0,2,37,11.428571428571429,0.0
Medical Student Apartment D-Shared,146776990,Brooklyn,East Flatbush,40.65465,-73.93383,Shared room,33,31,0,4,41,1.064516129032258,0.0
Luxury Brooklyn Condo only 30 min to NYC,264272029,Brooklyn,East Flatbush,40.63673,-73.94988,Entire home/apt,399,2,2,1,161,199.5,8.0
Luxury Penthouse  – Chelsea – Manhattan,20049684,Manhattan,Chelsea,40.74887,-74.00498,Entire home/apt,350,3,0,1,328,116.66666666666667,0.0
Spacious Room Steps to Prospect Park (built 2017),269121359,Brooklyn,Prospect-Lefferts Gardens,40.65603,-73.95832,Private room,100,10,0,1,59,10.0,0.0
Serene modern space in the heart of greenpoint!,25490213,Brooklyn,Greenpoint,40.72549,-73.94912,Private room,95,2,1,1,67,47.5,14.0
"luxury apt in long lsland city 
1min to subway",221012726,Queens,Long Island City,40.74786,-73.93889,Private room,46,1,0,1,6,46.0,0.0
SPACIOUS STUDIO FLAT In Tree-Lined Neighborhood,117987098,Brooklyn,Kensington,40.63293,-73.97117,Private room,86,2,0,1,365,43.0,0.0
Feel like home room in Manhattan,98662265,Manhattan,Midtown,40.75061,-73.97233,Private room,85,1,1,1,43,85.0,18.0
Cozy one bedroom in the city!!,37140959,Manhattan,East Village,40.72281,-73.98099,Private room,66,3,0,1,9,22.0,0.0
Perfect NYC crib for Explorers & Travelers,269193265,Manhattan,Murray Hill,40.74611,-73.974,Private room,105,1,1,1,38,105.0,8.0
Custom home by lake and NYC,20024538,Staten Island,Arrochar,40.5949,-74.07084,Entire home/apt,199,1,1,1,81,199.0,8.0
☕ ✈Fantastic Room ⚡⚡ ✈,269075374,Manhattan,East Harlem,40.80911,-73.93698,Private room,150,1,0,1,7,150.0,0.0
Cozy 2 Bedroom apartment next to Manhattan!!,163360671,Queens,Astoria,40.75732,-73.91557,Entire home/apt,135,3,0,1,227,45.0,0.0
Renovated 2 Bedroom next to Manhattan!!!,258094448,Queens,Astoria,40.75916,-73.92541,Entire home/apt,120,3,0,1,105,40.0,0.0
Brand new fully furnished studio apartment!,59521234,Brooklyn,Crown Heights,40.66986,-73.95598,Entire home/apt,120,1,0,1,14,120.0,0.0
Authentic Chelsea Studio Loft,89629761,Manhattan,Chelsea,40.74913,-73.99575,Entire home/apt,89,2,0,1,37,44.5,0.0
Cozy 1 Bedroom Apartment next to Manhattan!!!,258089128,Queens,Astoria,40.76019,-73.92489,Entire home/apt,135,3,0,1,109,45.0,0.0
Renta de Habitación a una cuadra de Central Park,29340158,Manhattan,Upper West Side,40.79618,-73.96312,Private room,43,10,0,1,128,4.3,0.0
Stunning Full Floor Apartment in the Village,1238383,Manhattan,Greenwich Village,40.72935,-73.99934,Entire home/apt,500,4,0,1,74,125.0,0.0
"Entire Apartment. One block to Bars, Coop, Qtrain.",198020385,Brooklyn,Flatbush,40.63704,-73.96693,Entire home/apt,130,3,2,1,33,43.333333333333336,2.0
Spacious 3 Bedroom 5 mins way from Manhattan!!!,257680857,Queens,Long Island City,40.7537,-73.93505,Entire home/apt,139,3,0,1,105,46.333333333333336,0.0
Massive Sun Filled East Village Bedroom with Roof,28103718,Manhattan,East Village,40.7319,-73.98981,Private room,150,3,1,1,209,50.0,8.0
Sonder | 116 John | Cozy Studio + Laundry,219517861,Manhattan,Financial District,40.70831,-74.00642,Entire home/apt,180,29,0,327,342,6.206896551724138,0.0
Sonder | 116 John | Tasteful 2BR + Gym,219517861,Manhattan,Financial District,40.70833,-74.00497,Entire home/apt,270,29,0,327,350,9.310344827586206,0.0
Private studio. Near Bars & Q-train. Gay friendly,189808492,Brooklyn,Flatbush,40.63771,-73.9672,Private room,70,3,0,1,38,23.333333333333332,0.0
Hope Garden,106798652,Brooklyn,Bushwick,40.69554,-73.92511,Private room,130,1,0,2,365,130.0,0.0
Penthouse Apartment with *Private* Rooftop,23715245,Manhattan,Lower East Side,40.71976,-73.98397,Entire home/apt,275,2,1,1,12,137.5,15.0
Magnificent Royal Townhouse in NEW YORK CITY!,221213143,Manhattan,Kips Bay,40.74297,-73.98195,Entire home/apt,650,1,0,9,302,650.0,0.0
2 TWIN BEDS (OR 1 KING BED) IN A BOUTIQUE HOTEL,33213436,Brooklyn,Gowanus,40.68019,-73.98408,Private room,160,1,1,8,364,160.0,15.0
Cozy 2/1 apartment in Heart of Brooklyn,81957771,Brooklyn,Bushwick,40.70318,-73.92636,Entire home/apt,120,3,0,1,177,40.0,0.0
Newly Furnished 2 Bed 1 Bath,61396454,Manhattan,Midtown,40.75508,-73.96379,Entire home/apt,220,30,0,14,343,7.333333333333333,0.0
Sutton Place High Rise,61396454,Manhattan,Midtown,40.75518,-73.96306,Entire home/apt,190,30,0,14,365,6.333333333333333,0.0
Newly renovated and modern apartment in Manhattan,149334307,Manhattan,Washington Heights,40.83901,-73.93943,Private room,61,1,1,1,268,61.0,15.0
"Super Nice Flat in Nolita, NYC",33144953,Manhattan,Nolita,40.72206,-73.99695,Entire home/apt,189,4,0,1,317,47.25,0.0
Ginger Home,2113042,Brooklyn,Bedford-Stuyvesant,40.69414,-73.94073,Private room,70,3,1,1,65,23.333333333333332,7.0
Affordable Midtown East 2 bedrooms/2 bathrooms,269264973,Manhattan,Midtown,40.75903,-73.96669,Entire home/apt,199,7,0,1,134,28.428571428571427,0.0
"concrete jungle, dreams are made, Studio nextdoor",216289751,Manhattan,Midtown,40.7518,-73.97158,Entire home/apt,145,3,0,1,62,48.333333333333336,0.0
Recording Studio Overnight Stays. Downton Bklyn,37424221,Brooklyn,Downtown Brooklyn,40.69677,-73.98155,Private room,100,2,0,1,365,50.0,0.0
Charming 2 bed's in Midtown East Near U.N,51589519,Manhattan,Midtown,40.75726,-73.96671,Entire home/apt,180,28,0,1,338,6.428571428571429,0.0
Clinton Midtwon WesT,243288727,Manhattan,Hell's Kitchen,40.76965,-73.99001,Entire home/apt,190,30,0,7,353,6.333333333333333,0.0
THE HEART OF MIDTOWN WEST,243288727,Manhattan,Hell's Kitchen,40.76783,-73.98847,Entire home/apt,190,30,0,7,267,6.333333333333333,0.0
The Brooklyn Plaza,57888148,Brooklyn,East Flatbush,40.66242,-73.92833,Private room,70,1,0,1,325,70.0,0.0
Sunny 5Br 4Ba - Townhouse on Upper East Side,268680530,Manhattan,Upper East Side,40.77587,-73.95308,Entire home/apt,1100,4,0,1,270,275.0,0.0
LUXIRIOUS ONE BEDROOM MIDTWON WEST,243288727,Manhattan,Hell's Kitchen,40.76896,-73.98908,Entire home/apt,190,30,0,7,348,6.333333333333333,0.0
"close to LGA, JFK LIRR , (private parking)",26802715,Queens,Flushing,40.7664,-73.8227,Private room,49,4,0,2,63,12.25,0.0
LUXUARY 2 BEDROOM APARTMENT,243288727,Manhattan,Hell's Kitchen,40.76793,-73.9882,Entire home/apt,190,30,0,7,354,6.333333333333333,0.0
1BD SAFE & AFFORDABLE  WITH TV  FULLY RENOVATED,73676969,Bronx,Williamsbridge,40.87852,-73.85003,Private room,36,2,2,3,47,18.0,3.0
Amazing 2 Br 2bath upper east side prime location,269312373,Manhattan,Upper East Side,40.76074,-73.96015,Entire home/apt,340,30,0,2,332,11.333333333333334,0.0
THE HEART OF THE WEST,243288727,Manhattan,Hell's Kitchen,40.76285,-73.98653,Entire home/apt,300,30,0,7,310,10.0,0.0
MIDTOWN WEST  APARTMENT,243288727,Manhattan,Hell's Kitchen,40.76364,-73.98694,Entire home/apt,300,30,0,7,310,10.0,0.0
Comfy 2 bedroom Close To Manhattan,256911412,Brooklyn,Williamsburg,40.70469,-73.9369,Entire home/apt,101,4,0,1,27,25.25,0.0
HIGHR RISE IN MIDTOWN WEST,243288727,Manhattan,Hell's Kitchen,40.76192,-73.98696,Entire home/apt,190,30,0,7,311,6.333333333333333,0.0
Private room with a sofa bed in Greenpoint BK,138150256,Brooklyn,Greenpoint,40.73171,-73.95374,Private room,50,3,0,2,0,16.666666666666668,0.0
